ID_AMBITO_UNIVOCO;DESCRIZIONE;AMBITO_DISC;ID_ATTIVITA_FORMATIVA;CLASSE;
2392;Valore Totale se Dato Disaggregato Non Disponibile;5;F;8;
114;Matematica, Informatica e Statistica;1;A;9;
115;Fisica e Chimica;2;A;9;
116;Ingegneria dell'Automazione;1;B;9;
117;Ingegneria Biomedica;2;B;9;
118;Ingegneria Elettronica;3;B;9;
119;Ingegneria Gestionale;4;B;9;
120;Ingegneria Informatica;5;B;9;
121;Ingegneria delle Telecomunicazioni;6;B;9;
122;Discipline Ingegneristiche;1;C;9;
123;Cultura Scientifica, Umanistica, Giuridica, Economica, Socio-Politica;2;C;9;
124;A Scelta dello Studente;1;D;9;
125;Prova Finale;1;E;9;
126;Lingua Straniera;2;E;9;
2964;Valore Totale se Dato Disaggregato Non Disponibile;3;E;9;
127;Ulteriori Conoscenze Linguistiche;1;F;9;
1925;Abilità Informatiche e Relazionali;2;F;9;
2081;Tirocini;3;F;9;
2237;Altro;4;F;9;
2393;Valore Totale se Dato Disaggregato Non Disponibile;5;F;9;
2560;Ingegneria dell'Automazione;1;T;9;
2561;Ingegneria Biomedica;2;T;9;
2562;Ingegneria Elettronica;3;T;9;
2563;Ingegneria Gestionale;4;T;9;
2564;Ingegneria Informatica;5;T;9;
2565;Ingegneria delle Telecomunicazioni;6;T;9;
128;Matematica, Informatica e Statistica;1;A;10;
129;Fisica e Chimica;2;A;10;
130;Ingegneria Aerospaziale;1;B;10;
131;Ingegneria dell'Automazione;2;B;10;
132;Ingegneria Biomedica;3;B;10;
133;Ingegneria Chimica;4;B;10;
134;Ingegneria Elettrica;5;B;10;
135;Ingegneria Energetica;6;B;10;
136;Ingegneria Gestionale;7;B;10;
137;Ingegneria dei Materiali;8;B;10;
138;Ingegneria Meccanica;9;B;10;
139;Ingegneria Navale;10;B;10;
140;Ingegneria Nucleare;11;B;10;
141;Cultura Scientifica, Umanistica, Giuridica, Economica, Socio-Politica;1;C;10;
142;A Scelta dello Studente;1;D;10;
143;Prova Finale;1;E;10;
144;Lingua Straniera;2;E;10;
2965;Valore Totale se Dato Disaggregato Non Disponibile;3;E;10;
145;Ulteriori Conoscenze Linguistiche;1;F;10;
1926;Abilità Informatiche e Relazionali;2;F;10;
2082;Tirocini;3;F;10;
2238;Altro;4;F;10;
2394;Valore Totale se Dato Disaggregato Non Disponibile;5;F;10;
2566;Ingegneria Aerospaziale;1;T;10;
2567;Ingegneria dell'Automazione;2;T;10;
2568;Ingegneria Biomedica;3;T;10;
2569;Ingegneria Chimica;4;T;10;
2570;Ingegneria Elettrica;5;T;10;
2571;Ingegneria Energetica;6;T;10;
2572;Ingegneria Gestionale;7;T;10;
2573;Ingegneria dei Materiali;8;T;10;
2574;Ingegneria Meccanica;9;T;10;
2575;Ingegneria Navale;10;T;10;
2576;Ingegneria Nucleare;11;T;10;
146;Discipline Attinenti alla Linguistica, alla Semiotica e alla Didattica delle Lingue;1;A;11;
147;Discipline Attinenti alla Letteratura Italiana;2;A;11;
148;Discipline delle Letterature Straniere;1;B;11;
149;Discipline delle Lingue e Traduzioni;2;B;11;
150;Discipline Filologiche Attinenti alle Lingue e Letterature Straniere;3;B;11;
151;Discipline Attinenti alle Lingue e Letterature Moderne dell'Africa e dell'Asia;4;B;11;
152;Discipline di Filologia e Storia dell'Africa e dell'Asia;5;B;11;
153;Discipline Storiche, Storico-Artistiche, Geografiche, Sociologiche e Filologiche;1;C;11;
154;Discipline Filosofiche;2;C;11;
155;A Scelta dello Studente;1;D;11;
156;Prova Finale;1;E;11;
157;Lingua Straniera;2;E;11;
2966;Valore Totale se Dato Disaggregato Non Disponibile;3;E;11;
158;Ulteriori Conoscenze Linguistiche;1;F;11;
1927;Abilità Informatiche e Relazionali;2;F;11;
2083;Tirocini;3;F;11;
2239;Altro;4;F;11;
2395;Valore Totale se Dato Disaggregato Non Disponibile;5;F;11;
2577;Discipline delle Letterature Straniere;1;T;11;
2578;Discipline delle Lingue e Traduzioni;2;T;11;
2579;Discipline Filologiche Attinenti alle Lingue e Letterature Straniere;3;T;11;
2580;Discipline Attinenti alle Lingue e Letterature Moderne dell'Africa e dell'Asia;4;T;11;
2581;Discipline di Filologia e Storia dell'Africa e dell'Asia;5;T;11;
159;Discipline Biologiche;1;A;12;
160;Discipline Matematiche, Fisiche e Informatiche;2;A;12;
161;Discipline Chimiche;3;A;12;
162;Discipline Botaniche e Zoologiche;1;B;12;
163;Discipline Ecologiche e Microbiologiche;2;B;12;
164;Discipline Fisiologiche;3;B;12;
165;Discipline Biochimiche, Biomolecolari e Genetiche;4;B;12;
166;Discipline Biologiche;1;C;12;
167;Interdisciplinarita e Applicazioni;2;C;12;
168;A Scelta dello Studente;1;D;12;
169;Prova Finale;1;E;12;
170;Lingua Straniera;2;E;12;
2967;Valore Totale se Dato Disaggregato Non Disponibile;3;E;12;
171;Ulteriori Conoscenze Linguistiche;1;F;12;
1928;Abilità Informatiche e Relazionali;2;F;12;
2084;Tirocini;3;F;12;
2240;Altro;4;F;12;
2396;Valore Totale se Dato Disaggregato Non Disponibile;5;F;12;
2582;Discipline Botaniche e Zoologiche;1;T;12;
2583;Discipline Ecologiche e Microbiologiche;2;T;12;
2584;Discipline Fisiologiche;3;T;12;
2585;Discipline Biochimiche, Biomolecolari e Genetiche;4;T;12;
172;Discipline dell'Ambiente e della Natura;1;A;13;
173;Letteratura Italiana;2;A;13;
174;Discipline Storiche;3;A;13;
175;Legislazione dei Beni Culturali;1;B;13;
176;Discipline Geologiche Ingegneristiche e Architettoniche;2;B;13;
177;Discipline Fisiche;3;B;13;
178;Discipline Chimiche;4;B;13;
179;Discipline Biologiche;5;B;13;
180;Beni Archivistici e Librari;6;B;13;
181;Beni Musicali, Cinematografici e Teatrali;7;B;13;
182;Beni Storico-Artistici e Archeologici;8;B;13;
183;Beni Demoetnoantropologici e Ambientali;9;B;13;
184;Tecnologie dei Beni Culturali;1;C;13;
185;Civilta Antiche e Medievali;2;C;13;
186;A Scelta dello Studente;1;D;13;
187;Prova Finale;1;E;13;
188;Lingua Straniera;2;E;13;
2968;Valore Totale se Dato Disaggregato Non Disponibile;3;E;13;
189;Ulteriori Conoscenze Linguistiche;1;F;13;
1929;Abilità Informatiche e Relazionali;2;F;13;
2085;Tirocini;3;F;13;
2241;Altro;4;F;13;
2397;Valore Totale se Dato Disaggregato Non Disponibile;5;F;13;
2586;Legislazione dei Beni Culturali;1;T;13;
2587;Discipline Geologiche Ingegneristiche e Architettoniche;2;T;13;
2588;Discipline Fisiche;3;T;13;
2589;Discipline Chimiche;4;T;13;
2590;Discipline Biologiche;5;T;13;
2591;Beni Archivistici e Librari;6;T;13;
2592;Beni Musicali, Cinematografici e Teatrali;7;T;13;
2593;Beni Storico-Artistici e Archeologici;8;T;13;
2594;Beni Demoetnoantropologici e Ambientali;9;T;13;
190;Discipline Semiotiche e Linguistiche;1;A;14;
191;Discipline Informatiche e della Comunicazione;2;A;14;
192;Discipline Sociali, Mediologiche e della Comunicazione Politica;3;A;14;
193;Linguistica Italiana e Lingue Straniere;1;B;14;
194;Discipline dei Linguaggi e delle Tecniche dei Media, del Design e della Grafica;2;B;14;
195;Discipline Psicosociali;3;B;14;
196;Discipline Giuridiche;4;B;14;
197;Discipline Economico-Aziendali;5;B;14;
198;Discipline Storico-Politico-Filosofiche;6;B;14;
199;Discipline Letterarie e Storiche e delle Arti;1;C;14;
200;Discipline Sociali;2;C;14;
201;Discipline Attinenti alle Lingue e Letterature;3;C;14;
202;A Scelta dello Studente;1;D;14;
203;Prova Finale;1;E;14;
204;Lingua Straniera;2;E;14;
2969;Valore Totale se Dato Disaggregato Non Disponibile;3;E;14;
205;Ulteriori Conoscenze Linguistiche;1;F;14;
1930;Abilità Informatiche e Relazionali;2;F;14;
2086;Tirocini;3;F;14;
2242;Altro;4;F;14;
2398;Valore Totale se Dato Disaggregato Non Disponibile;5;F;14;
2595;Linguistica Italiana e Lingue Straniere;1;T;14;
2596;Discipline dei Linguaggi e delle Tecniche dei Media, del Design e della Grafica;2;T;14;
2597;Discipline Psicosociali;3;T;14;
2598;Discipline Giuridiche;4;T;14;
2599;Discipline Economico-Aziendali;5;T;14;
2600;Discipline Storico-Politico-Filosofiche;6;T;14;
206;Discipline Statistiche, Giuridiche e Metodologiche;1;A;15;
207;Discipline Linguistiche;2;A;15;
208;Discipline Storico-Politiche;1;B;15;
209;Discipline Economico-Politiche;2;B;15;
210;Discipline Sociologiche;3;B;15;
211;Discipline Politologiche;4;B;15;
212;Discipline Giuridiche;5;B;15;
213;Storico-Filosofico;1;C;15;
214;Economico;2;C;15;
215;Giuridico;3;C;15;
216;Sociologico;4;C;15;
217;A Scelta dello Studente;1;D;15;
218;Prova Finale;1;E;15;
219;Lingua Straniera;2;E;15;
2970;Valore Totale se Dato Disaggregato Non Disponibile;3;E;15;
220;Ulteriori Conoscenze Linguistiche;1;F;15;
1931;Abilità Informatiche e Relazionali;2;F;15;
2087;Tirocini;3;F;15;
2243;Altro;4;F;15;
2399;Valore Totale se Dato Disaggregato Non Disponibile;5;F;15;
3114;Discipline Storico-Politiche;1;T;15;
3115;Discipline Economico-Politiche;2;T;15;
3116;Discipline Sociologiche;3;T;15;
3117;Discipline Politologiche;4;T;15;
3118;Discipline Giuridiche;5;T;15;
221;Discipline Matematiche;1;A;16;
222;Discipline Fisiche;2;A;16;
223;Discipline Informatiche;3;A;16;
224;Discipline Chimiche;4;A;16;
225;Ambito Geologico-Paleontologico;1;B;16;
226;Ambito Geomorfologico-Geologico Applicato;2;B;16;
227;Ambito Mineralogico-Petrografico e Geochimico-Geofisico;3;B;16;
228;Cultura Scientifica, Tecnologica, Giuridica, Economica;1;C;16;
229;Interdisciplinarita e Applicazioni;2;C;16;
230;A Scelta dello Studente;1;D;16;
231;Prova Finale;1;E;16;
232;Lingua Straniera;2;E;16;
2971;Valore Totale se Dato Disaggregato Non Disponibile;3;E;16;
233;Ulteriori Conoscenze Linguistiche;1;F;16;
1932;Abilità Informatiche e Relazionali;2;F;16;
2088;Tirocini;3;F;16;
2244;Altro;4;F;16;
2400;Valore Totale se Dato Disaggregato Non Disponibile;5;F;16;
234;Economico;1;A;17;
235;Aziendale;2;A;17;
236;Statistico-Matematico;3;A;17;
237;Giuridico;4;A;17;
238;Aziendale;1;B;17;
239;Statistico-Matematico;2;B;17;
240;Giuridico;3;B;17;
241;Discipline Economiche;1;C;17;
242;Discipline Economico-Gestionali;2;C;17;
243;Cultura Scientifica, Tecnologica e Giuridica;3;C;17;
244;Formazione Interdisciplinare;4;C;17;
245;A Scelta dello Studente;1;D;17;
246;Prova Finale;1;E;17;
247;Lingua Straniera;2;E;17;
2972;Valore Totale se Dato Disaggregato Non Disponibile;3;E;17;
248;Ulteriori Conoscenze Linguistiche;1;F;17;
1933;Abilità Informatiche e Relazionali;2;F;17;
2089;Tirocini;3;F;17;
2245;Altro;4;F;17;
2401;Valore Totale se Dato Disaggregato Non Disponibile;5;F;17;
249;Discipline Pedagogiche e Psicologiche;1;A;18;
250;Discipline Linguistico-Letterarie;2;A;18;
251;Discipline Storiche e Geografiche;3;A;18;
252;Discipline Pedagogiche e Metodologico-Didattiche;1;B;18;
253;Discipline Igienico-Sanitarie, della Salute Mentale e dell'Integrazione dei Disabili;2;B;18;
254;Discipline Filosofiche;3;B;18;
255;Discipline Demo-Etno-Antropologiche, Politiche e Sociologiche;4;B;18;
256;Discipline Scientifiche;5;B;18;
257;Discipline Giuridiche, Sociali ed Economiche;1;C;18;
258;Discipline Storiche e Artistiche;2;C;18;
259;A Scelta dello Studente;1;D;18;
260;Prova Finale;1;E;18;
261;Lingua Straniera;2;E;18;
2973;Valore Totale se Dato Disaggregato Non Disponibile;3;E;18;
262;Ulteriori Conoscenze Linguistiche;1;F;18;
1934;Abilità Informatiche e Relazionali;2;F;18;
2090;Tirocini;3;F;18;
2246;Altro;4;F;18;
2402;Valore Totale se Dato Disaggregato Non Disponibile;5;F;18;
3119;Discipline Pedagogiche e Metodologico-Didattiche;1;T;18;
3120;Discipline Igienico-Sanitarie, della Salute Mentale e dell'Integrazione dei Disabili;2;T;18;
2601;Discipline Filosofiche;3;T;18;
2602;Discipline Demo-Etno-Antropologiche, Politiche e Sociologiche;4;T;18;
2603;Discipline Scientifiche;5;T;18;
263;Politologico e Sociologico;1;A;19;
264;Storico-Politico;2;A;19;
265;Giuridico;3;A;19;
266;Statistico-Economico;4;A;19;
267;Politologico;1;B;19;
268;Socio-Psicologico;2;B;19;
269;Economico Aziendale;3;B;19;
270;Giuridico;4;B;19;
271;Discipline Linguistiche;1;C;19;
272;Discipline Economiche e Informatiche;2;C;19;
273;Discipline Giuridico-Processuali;3;C;19;
274;Discipline Politico Sociali;4;C;19;
275;A Scelta dello Studente;1;D;19;
276;Prova Finale;1;E;19;
277;Lingua Straniera;2;E;19;
2974;Valore Totale se Dato Disaggregato Non Disponibile;3;E;19;
278;Ulteriori Conoscenze Linguistiche;1;F;19;
1935;Abilità Informatiche e Relazionali;2;F;19;
2091;Tirocini;3;F;19;
2247;Altro;4;F;19;
2403;Valore Totale se Dato Disaggregato Non Disponibile;5;F;19;
3121;Politologico;1;T;19;
3122;Socio-Psicologico;2;T;19;
3123;Economico Aziendale;3;T;19;
3124;Giuridico;4;T;19;
279;Matematica, Informatica, Fisica e Statistica;1;A;20;
280;Chimica;2;A;20;
281;Biologia;3;A;20;
282;Economico, Giuridico ed Estimativo;1;B;20;
283;Produzione Vegetale;2;B;20;
284;Forestale e Ambientale;3;B;20;
285;Difesa;4;B;20;
286;Zootecnica;5;B;20;
287;Genio Rurale;6;B;20;
288;Tecnologia del Legno;7;B;20;
289;Tecnologia Alimentare;8;B;20;
290;Biologico-Chimico;1;C;20;
291;Tecnico;2;C;20;
292;A Scelta dello Studente;1;D;20;
293;Prova Finale;1;E;20;
294;Lingua Straniera;2;E;20;
2975;Valore Totale se Dato Disaggregato Non Disponibile;3;E;20;
295;Ulteriori Conoscenze Linguistiche;1;F;20;
1936;Abilità Informatiche e Relazionali;2;F;20;
2092;Tirocini;3;F;20;
2248;Altro;4;F;20;
2404;Valore Totale se Dato Disaggregato Non Disponibile;5;F;20;
2604;Economico, Giuridico ed Estimativo;1;T;20;
2605;Produzione Vegetale;2;T;20;
2606;Forestale e Ambientale;3;T;20;
2607;Difesa;4;T;20;
2608;Zootecnica;5;T;20;
2609;Genio Rurale;6;T;20;
2610;Tecnologia del Legno;7;T;20;
2611;Tecnologia Alimentare;8;T;20;
296;Discipline Chimiche;1;A;21;
297;Discipline Matematiche e Informatiche;2;A;21;
298;Discipline Fisiche;3;A;21;
299;Discipline Tecnologiche;1;B;21;
300;Discipline Analitiche e Ambientali;2;B;21;
301;Discipline Inorganiche Chimico Fisiche;3;B;21;
302;Discipline Industriali;4;B;21;
303;Discipline Organiche;5;B;21;
304;Discipline di Contesto;1;C;21;
305;Discipline Biochimiche e Farmaceutiche;2;C;21;
306;Formazione Interdisciplinare;3;C;21;
307;A Scelta dello Studente;1;D;21;
308;Prova Finale;1;E;21;
309;Lingua Straniera;2;E;21;
2976;Valore Totale se Dato Disaggregato Non Disponibile;3;E;21;
310;Ulteriori Conoscenze Linguistiche;1;F;21;
1937;Abilità Informatiche e Relazionali;2;F;21;
2093;Tirocini;3;F;21;
2249;Altro;4;F;21;
2405;Valore Totale se Dato Disaggregato Non Disponibile;5;F;21;
2612;Discipline Tecnologiche;1;T;21;
2613;Discipline Analitiche e Ambientali;2;T;21;
2614;Discipline Inorganiche Chimico Fisiche;3;T;21;
2615;Discipline Industriali;4;T;21;
2616;Discipline Organiche;5;T;21;
311;Matematica, Fisica, Chimica e Informatica;1;A;22;
312;Discipline Fisiche;1;B;22;
313;Discipline Geologiche e Geofisiche;2;B;22;
314;Discipline Ingegneristiche;3;B;22;
315;Discipline Giuridiche;4;B;22;
316;Discipline Scientifiche Integrative;1;C;22;
317;Discipline Complementari;2;C;22;
318;A Scelta dello Studente;1;D;22;
319;Prova Finale;1;E;22;
320;Lingua Straniera;2;E;22;
2977;Valore Totale se Dato Disaggregato Non Disponibile;3;E;22;
321;Ulteriori Conoscenze Linguistiche;1;F;22;
1938;Abilità Informatiche e Relazionali;2;F;22;
2094;Tirocini;3;F;22;
2250;Altro;4;F;22;
2406;Valore Totale se Dato Disaggregato Non Disponibile;5;F;22;
2617;Discipline Fisiche;1;T;22;
2618;Discipline Geologiche e Geofisiche;2;T;22;
2619;Discipline Ingegneristiche;3;T;22;
2620;Discipline Giuridiche;4;T;22;
322;Discipline Letterarie;1;A;23;
323;Discipline Sociologiche, Pedagogiche e Psicologiche;2;A;23;
324;Discipline Storiche;3;A;23;
325;Discipline Teoriche;1;B;23;
326;Sistemi e Tecniche della Moda e delle Produzioni Artistiche;2;B;23;
327;Discipline della Musica;3;B;23;
328;Discipline Storico-Artistiche;4;B;23;
329;Discipline dello Spettacolo;5;B;23;
330;Discipline Informatiche e Scientifico-Tecnologiche;1;C;23;
331;Discipline Giuridiche e Gestionali;2;C;23;
332;Discipline Linguistiche;3;C;23;
333;A Scelta dello Studente;1;D;23;
334;Prova Finale;1;E;23;
335;Lingua Straniera;2;E;23;
2978;Valore Totale se Dato Disaggregato Non Disponibile;3;E;23;
336;Ulteriori Conoscenze Linguistiche;1;F;23;
1939;Abilità Informatiche e Relazionali;2;F;23;
2095;Tirocini;3;F;23;
2251;Altro;4;F;23;
2407;Valore Totale se Dato Disaggregato Non Disponibile;5;F;23;
3125;Discipline Teoriche;1;T;23;
2621;Sistemi e Tecniche della Moda e delle Produzioni Artistiche;2;T;23;
2622;Discipline della Musica;3;T;23;
2623;Discipline Storico-Artistiche;4;T;23;
2624;Discipline dello Spettacolo;5;T;23;
337;Discipline Matematiche, Informatiche e Statistiche;1;A;24;
338;Discipline Fisiche e Chimiche;2;A;24;
339;Discipline Biologiche e Morfologiche;3;A;24;
340;Discipline Chimiche;1;B;24;
341;Discipline Biologiche;2;B;24;
342;Discipline Biologiche;1;C;24;
343;Discipline Chimiche;2;C;24;
344;Discipline Mediche;3;C;24;
345;A Scelta dello Studente;1;D;24;
346;Prova Finale;1;E;24;
347;Lingua Straniera;2;E;24;
2979;Valore Totale se Dato Disaggregato Non Disponibile;3;E;24;
348;Ulteriori Conoscenze Linguistiche;1;F;24;
1940;Abilità Informatiche e Relazionali;2;F;24;
2096;Tirocini;3;F;24;
2252;Altro;4;F;24;
2408;Valore Totale se Dato Disaggregato Non Disponibile;5;F;24;
541;Discipline Matematiche;1;A;25;
542;Discipline Informatiche;2;A;25;
543;Sperimentale-Applicativo;1;B;25;
544;Teorico e dei Fondamenti della Fisica;2;B;25;
545;Microfisico e della Struttura della Materia;3;B;25;
546;Astrofisico-Geofisico e Spaziale;4;B;25;
547;Discipline Chimiche;1;C;25;
548;Interdisciplinarita e Applicazioni;2;C;25;
549;A Scelta dello Studente;1;D;25;
550;Prova Finale;1;E;25;
551;Lingua Straniera;2;E;25;
2980;Valore Totale se Dato Disaggregato Non Disponibile;3;E;25;
552;Ulteriori Conoscenze Linguistiche;1;F;25;
1941;Abilità Informatiche e Relazionali;2;F;25;
2097;Tirocini;3;F;25;
2253;Altro;4;F;25;
2409;Valore Totale se Dato Disaggregato Non Disponibile;5;F;25;
2659;Sperimentale-Applicativo;1;T;25;
2660;Teorico e dei Fondamenti della Fisica;2;T;25;
2661;Microfisico e della Struttura della Materia;3;T;25;
2662;Astrofisico-Geofisico e Spaziale;4;T;25;
349;Formazione Matematico-Statistica;1;A;26;
350;Formazione Informatica;2;A;26;
351;Formazione Fisica;3;A;26;
352;Formazione Informatica;1;B;26;
353;Formazione Affine;1;C;26;
354;Formazione Interdisciplinare;2;C;26;
355;A Scelta dello Studente;1;D;26;
356;Prova Finale;1;E;26;
357;Lingua Straniera;2;E;26;
2981;Valore Totale se Dato Disaggregato Non Disponibile;3;E;26;
358;Ulteriori Conoscenze Linguistiche;1;F;26;
1942;Abilità Informatiche e Relazionali;2;F;26;
2098;Tirocini;3;F;26;
2254;Altro;4;F;26;
2410;Valore Totale se Dato Disaggregato Non Disponibile;5;F;26;
359;Discipline Naturalistiche;1;A;27;
360;Discipline Matematiche, Informatiche e Statistiche;2;A;27;
361;Discipline Fisiche;3;A;27;
362;Discipline Chimiche;4;A;27;
363;Discipline Biologiche;1;B;27;
364;Discipline Ecologiche;2;B;27;
