ID_SETTORE;NOME_SETTORE;CODICE_AREA;DESCRIZIONE_AREA;
VET/05;MALATTIE INFETTIVE DEGLI ANIMALI DOMESTICI;07;SCIENZE AGRARIE E VETERINARIE;
VET/06;PARASSITOLOGIA E MALATTIE PARASSITARIE DEGLI ANIMALI;07;SCIENZE AGRARIE E VETERINARIE;
VET/07;FARMACOLOGIA E TOSSICOLOGIA VETERINARIA;07;SCIENZE AGRARIE E VETERINARIE;
VET/08;CLINICA MEDICA VETERINARIA;07;SCIENZE AGRARIE E VETERINARIE;
VET/09;CLINICA CHIRURGICA VETERINARIA;07;SCIENZE AGRARIE E VETERINARIE;
VET/10;CLINICA OSTETRICA E GINECOLOGIA VETERINARIA;07;SCIENZE AGRARIE E VETERINARIE;
999999999999996;Settore ante D.M 26 febbraio 1999 - Rideterminazione settori scientifico-disciplinari;;;
999999999999997;Conoscenze linguistiche;;;
999999999999998;Non previsto;;;
999999999999999;Non disponibile;;;
AGR/01;ECONOMIA ED ESTIMO RURALE;07;SCIENZE AGRARIE E VETERINARIE;
AGR/02;AGRONOMIA E COLTIVAZIONI ERBACEE;07;SCIENZE AGRARIE E VETERINARIE;
AGR/03;ARBORICOLTURA GENERALE E COLTIVAZIONI ARBOREE;07;SCIENZE AGRARIE E VETERINARIE;
AGR/04;ORTICOLTURA E FLORICOLTURA;07;SCIENZE AGRARIE E VETERINARIE;
AGR/05;ASSESTAMENTO FORESTALE E SELVICOLTURA;07;SCIENZE AGRARIE E VETERINARIE;
AGR/06;TECNOLOGIA DEL LEGNO E UTILIZZAZIONI FORESTALI;07;SCIENZE AGRARIE E VETERINARIE;
AGR/07;GENETICA AGRARIA;07;SCIENZE AGRARIE E VETERINARIE;
AGR/08;IDRAULICA AGRARIA E SISTEMAZIONI IDRAULICO-FORESTALI;07;SCIENZE AGRARIE E VETERINARIE;
AGR/09;MECCANICA AGRARIA;07;SCIENZE AGRARIE E VETERINARIE;
AGR/10;COSTRUZIONI RURALI E TERRITORIO AGROFORESTALE;07;SCIENZE AGRARIE E VETERINARIE;
AGR/11;ENTOMOLOGIA GENERALE E APPLICATA;07;SCIENZE AGRARIE E VETERINARIE;
AGR/12;PATOLOGIA VEGETALE;07;SCIENZE AGRARIE E VETERINARIE;
AGR/13;CHIMICA AGRARIA;07;SCIENZE AGRARIE E VETERINARIE;
AGR/14;PEDOLOGIA;07;SCIENZE AGRARIE E VETERINARIE;
AGR/15;SCIENZE E TECNOLOGIE ALIMENTARI;07;SCIENZE AGRARIE E VETERINARIE;
AGR/16;MICROBIOLOGIA AGRARIA;07;SCIENZE AGRARIE E VETERINARIE;
AGR/17;ZOOTECNICA GENERALE E MIGLIORAMENTO GENETICO;07;SCIENZE AGRARIE E VETERINARIE;
AGR/18;NUTRIZIONE E ALIMENTAZIONE ANIMALE;07;SCIENZE AGRARIE E VETERINARIE;
AGR/19;ZOOTECNICA SPECIALE;07;SCIENZE AGRARIE E VETERINARIE;
AGR/20;ZOOCOLTURE;07;SCIENZE AGRARIE E VETERINARIE;
BIO/01;BOTANICA GENERALE;05;SCIENZE BIOLOGICHE;
BIO/02;BOTANICA SISTEMATICA;05;SCIENZE BIOLOGICHE;
BIO/03;BOTANICA AMBIENTALE E APPLICATA;05;SCIENZE BIOLOGICHE;
BIO/04;FISIOLOGIA VEGETALE;05;SCIENZE BIOLOGICHE;
BIO/05;ZOOLOGIA;05;SCIENZE BIOLOGICHE;
BIO/06;ANATOMIA COMPARATA E CITOLOGIA;05;SCIENZE BIOLOGICHE;
BIO/07;ECOLOGIA;05;SCIENZE BIOLOGICHE;
BIO/08;ANTROPOLOGIA;05;SCIENZE BIOLOGICHE;
BIO/09;FISIOLOGIA;05;SCIENZE BIOLOGICHE;
BIO/10;BIOCHIMICA;05;SCIENZE BIOLOGICHE;
BIO/11;BIOLOGIA MOLECOLARE;05;SCIENZE BIOLOGICHE;
BIO/12;BIOCHIMICA CLINICA E BIOLOGIA MOLECOLARE CLINICA;05;SCIENZE BIOLOGICHE;
BIO/13;BIOLOGIA APPLICATA;05;SCIENZE BIOLOGICHE;
BIO/14;FARMACOLOGIA;05;SCIENZE BIOLOGICHE;
BIO/15;BIOLOGIA FARMACEUTICA;05;SCIENZE BIOLOGICHE;
BIO/16;ANATOMIA UMANA;05;SCIENZE BIOLOGICHE;
BIO/17;ISTOLOGIA;05;SCIENZE BIOLOGICHE;
BIO/18;GENETICA;05;SCIENZE BIOLOGICHE;
BIO/19;MICROBIOLOGIA GENERALE;05;SCIENZE BIOLOGICHE;
BIO/20;SOPPRESSO con DM 26.6.00 - ATTIVITA MOTORIE;05;SCIENZE BIOLOGICHE;
CHIM/01;CHIMICA ANALITICA;03;SCIENZE CHIMICHE;
CHIM/02;CHIMICA FISICA;03;SCIENZE CHIMICHE;
CHIM/03;CHIMICA GENERALE E INORGANICA;03;SCIENZE CHIMICHE;
CHIM/04;CHIMICA INDUSTRIALE;03;SCIENZE CHIMICHE;
CHIM/05;SCIENZA E TECNOLOGIA DEI MATERIALI POLIMERICI;03;SCIENZE CHIMICHE;
CHIM/06;CHIMICA ORGANICA;03;SCIENZE CHIMICHE;
CHIM/07;FONDAMENTI CHIMICI DELLE TECNOLOGIE;03;SCIENZE CHIMICHE;
CHIM/08;CHIMICA FARMACEUTICA;03;SCIENZE CHIMICHE;
CHIM/09;FARMACEUTICO TECNOLOGICO APPLICATIVO;03;SCIENZE CHIMICHE;
CHIM/10;CHIMICA DEGLI ALIMENTI;03;SCIENZE CHIMICHE;
CHIM/11;CHIMICA E BIOTECNOLOGIA DELLE FERMENTAZIONI;03;SCIENZE CHIMICHE;
CHIM/12;CHIMICA DELL'AMBIENTE E DEI BENI CULTURALI;03;SCIENZE CHIMICHE;
FIS/01;FISICA SPERIMENTALE;02;SCIENZE FISICHE;
FIS/02;FISICA TEORICA, MODELLI E METODI MATEMATICI;02;SCIENZE FISICHE;
FIS/03;FISICA DELLA MATERIA;02;SCIENZE FISICHE;
FIS/04;FISICA NUCLEARE E SUBNUCLEARE;02;SCIENZE FISICHE;
FIS/05;ASTRONOMIA E ASTROFISICA;02;SCIENZE FISICHE;
FIS/06;FISICA PER IL SISTEMA TERRA E PER IL MEZZO CIRCUMTERRESTRE;02;SCIENZE FISICHE;
FIS/07;FISICA APPLICATA (A BENI CULTURALI, AMBIENTALI, BIOLOGIA E MEDICINA);02;SCIENZE FISICHE;
FIS/08;DIDATTICA E STORIA DELLA FISICA;02;SCIENZE FISICHE;
GEO/01;PALEONTOLOGIA E PALEOECOLOGIA;04;SCIENZE DELLA TERRA;
GEO/02;GEOLOGIA STRATIGRAFICA E SEDIMENTOLOGICA;04;SCIENZE DELLA TERRA;
GEO/03;GEOLOGIA STRUTTURALE;04;SCIENZE DELLA TERRA;
GEO/04;GEOGRAFIA FISICA E GEOMORFOLOGIA;04;SCIENZE DELLA TERRA;
GEO/05;GEOLOGIA APPLICATA;04;SCIENZE DELLA TERRA;
GEO/06;MINERALOGIA;04;SCIENZE DELLA TERRA;
GEO/07;PETROLOGIA E PETROGRAFIA;04;SCIENZE DELLA TERRA;
GEO/08;GEOCHIMICA E VULCANOLOGIA;04;SCIENZE DELLA TERRA;
GEO/09;GEORISORSE MINERARIE E APPLICAZIONI MINERALOGICO-PETROGRAFICHE PER L'AMBIENTE ED I BENI CULTURALI;04;SCIENZE DELLA TERRA;
GEO/10;GEOFISICA DELLA TERRA SOLIDA;04;SCIENZE DELLA TERRA;
GEO/11;GEOFISICA APPLICATA;04;SCIENZE DELLA TERRA;
GEO/12;OCEANOGRAFIA E FISICA DELL'ATMOSFERA;04;SCIENZE DELLA TERRA;
ICAR/01;IDRAULICA;08;INGEGNERIA CIVILE ED ARCHITETTURA;
ICAR/02;COSTRUZIONI IDRAULICHE E MARITTIME E IDROLOGIA;08;INGEGNERIA CIVILE ED ARCHITETTURA;
ICAR/03;INGEGNERIA SANITARIA - AMBIENTALE;08;INGEGNERIA CIVILE ED ARCHITETTURA;
ICAR/04;STRADE, FERROVIE E AEROPORTI;08;INGEGNERIA CIVILE ED ARCHITETTURA;
ICAR/05;TRASPORTI;08;INGEGNERIA CIVILE ED ARCHITETTURA;
ICAR/06;TOPOGRAFIA E CARTOGRAFIA;08;INGEGNERIA CIVILE ED ARCHITETTURA;
ICAR/07;GEOTECNICA;08;INGEGNERIA CIVILE ED ARCHITETTURA;
ICAR/08;SCIENZA DELLE COSTRUZIONI;08;INGEGNERIA CIVILE ED ARCHITETTURA;
ICAR/09;TECNICA DELLE COSTRUZIONI;08;INGEGNERIA CIVILE ED ARCHITETTURA;
ICAR/10;ARCHITETTURA TECNICA;08;INGEGNERIA CIVILE ED ARCHITETTURA;
ICAR/11;PRODUZIONE EDILIZIA;08;INGEGNERIA CIVILE ED ARCHITETTURA;
ICAR/12;TECNOLOGIA DELL'ARCHITETTURA;08;INGEGNERIA CIVILE ED ARCHITETTURA;
ICAR/13;DISEGNO INDUSTRIALE;08;INGEGNERIA CIVILE ED ARCHITETTURA;
ICAR/14;COMPOSIZIONE ARCHITETTONICA E URBANA;08;INGEGNERIA CIVILE ED ARCHITETTURA;
ICAR/15;ARCHITETTURA DEL PAESAGGIO;08;INGEGNERIA CIVILE ED ARCHITETTURA;
ICAR/16;ARCHITETTURA DEGLI INTERNI E ALLESTIMENTO;08;INGEGNERIA CIVILE ED ARCHITETTURA;
ICAR/17;DISEGNO;08;INGEGNERIA CIVILE ED ARCHITETTURA;
ICAR/18;STORIA DELL'ARCHITETTURA;08;INGEGNERIA CIVILE ED ARCHITETTURA;
ICAR/19;RESTAURO;08;INGEGNERIA CIVILE ED ARCHITETTURA;
ICAR/20;TECNICA E PIANIFICAZIONE URBANISTICA;08;INGEGNERIA CIVILE ED ARCHITETTURA;
ICAR/21;URBANISTICA;08;INGEGNERIA CIVILE ED ARCHITETTURA;
ICAR/22;ESTIMO;08;INGEGNERIA CIVILE ED ARCHITETTURA;
INF/01;INFORMATICA;01;SCIENZE MATEMATICHE E INFORMATICHE;
ING-IND/01;ARCHITETTURA NAVALE;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/02;COSTRUZIONI E IMPIANTI NAVALI E MARINI;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/03;MECCANICA DEL VOLO;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/04;COSTRUZIONI E STRUTTURE AEROSPAZIALI;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/05;IMPIANTI E SISTEMI AEROSPAZIALI;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/06;FLUIDODINAMICA;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/07;PROPULSIONE AEROSPAZIALE;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/08;MACCHINE A FLUIDO;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/09;SISTEMI PER L'ENERGIA E L'AMBIENTE;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/10;FISICA TECNICA INDUSTRIALE;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/11;FISICA TECNICA AMBIENTALE;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/12;MISURE MECCANICHE E TERMICHE;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/13;MECCANICA APPLICATA ALLE MACCHINE;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/14;PROGETTAZIONE MECCANICA E COSTRUZIONE DI MACCHINE;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/15;DISEGNO E METODI DELL'INGEGNERIA INDUSTRIALE;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/16;TECNOLOGIE E SISTEMI DI LAVORAZIONE;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/17;IMPIANTI INDUSTRIALI MECCANICI;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/18;FISICA DEI REATTORI NUCLEARI;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/19;IMPIANTI NUCLEARI;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/20;MISURE E STRUMENTAZIONE NUCLEARI;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/21;METALLURGIA;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/22;SCIENZA E TECNOLOGIA DEI MATERIALI;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/23;CHIMICA FISICA APPLICATA;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/24;PRINCIPI DI INGEGNERIA CHIMICA;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/25;IMPIANTI CHIMICI;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/26;TEORIA DELLO SVILUPPO DEI PROCESSI CHIMICI;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/27;CHIMICA INDUSTRIALE E TECNOLOGICA;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/28;INGEGNERIA E SICUREZZA DEGLI SCAVI;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/29;INGEGNERIA DELLE MATERIE PRIME;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/30;IDROCARBURI E FLUIDI DEL SOTTOSUOLO;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/31;ELETTROTECNICA;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/32;CONVERTITORI, MACCHINE E AZIONAMENTI ELETTRICI;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/33;SISTEMI ELETTRICI PER L'ENERGIA;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/34;BIOINGEGNERIA INDUSTRIALE;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-IND/35;INGEGNERIA ECONOMICO-GESTIONALE;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-INF/01;ELETTRONICA;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-INF/02;CAMPI ELETTROMAGNETICI;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-INF/03;TELECOMUNICAZIONI;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-INF/04;AUTOMATICA;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-INF/05;SISTEMI DI ELABORAZIONE DELLE INFORMAZIONI;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-INF/06;BIOINGEGNERIA ELETTRONICA E INFORMATICA;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
ING-INF/07;MISURE ELETTRICHE ED ELETTRONICHE;09;INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE;
IUS/01;DIRITTO PRIVATO;12;SCIENZE GIURIDICHE;
IUS/02;DIRITTO PRIVATO COMPARATO;12;SCIENZE GIURIDICHE;
IUS/03;DIRITTO AGRARIO;12;SCIENZE GIURIDICHE;
IUS/04;DIRITTO COMMERCIALE;12;SCIENZE GIURIDICHE;
IUS/05;DIRITTO DELL'ECONOMIA;12;SCIENZE GIURIDICHE;
IUS/06;DIRITTO DELLA NAVIGAZIONE;12;SCIENZE GIURIDICHE;
IUS/07;DIRITTO DEL LAVORO;12;SCIENZE GIURIDICHE;
IUS/08;DIRITTO COSTITUZIONALE;12;SCIENZE GIURIDICHE;
IUS/09;ISTITUZIONI DI DIRITTO PUBBLICO;12;SCIENZE GIURIDICHE;
IUS/10;DIRITTO AMMINISTRATIVO;12;SCIENZE GIURIDICHE;
IUS/11;DIRITTO CANONICO E DIRITTO ECCLESIASTICO;12;SCIENZE GIURIDICHE;
IUS/12;DIRITTO TRIBUTARIO;12;SCIENZE GIURIDICHE;
IUS/13;DIRITTO INTERNAZIONALE;12;SCIENZE GIURIDICHE;
IUS/14;DIRITTO DELL'UNIONE EUROPEA;12;SCIENZE GIURIDICHE;
IUS/15;DIRITTO PROCESSUALE CIVILE;12;SCIENZE GIURIDICHE;
IUS/16;DIRITTO PROCESSUALE PENALE;12;SCIENZE GIURIDICHE;
IUS/17;DIRITTO PENALE;12;SCIENZE GIURIDICHE;
IUS/18;DIRITTO ROMANO E DIRITTI DELL'ANTICHITA;12;SCIENZE GIURIDICHE;
IUS/19;STORIA DEL DIRITTO MEDIEVALE E MODERNO;12;SCIENZE GIURIDICHE;
IUS/20;FILOSOFIA DEL DIRITTO;12;SCIENZE GIURIDICHE;
IUS/21;DIRITTO PUBBLICO COMPARATO;12;SCIENZE GIURIDICHE;
L-ANT/01;PREISTORIA E PROTOSTORIA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-ANT/02;STORIA GRECA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-ANT/03;STORIA ROMANA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-ANT/04;NUMISMATICA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-ANT/05;PAPIROLOGIA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-ANT/06;ETRUSCOLOGIA E ANTICHITA ITALICHE;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-ANT/07;ARCHEOLOGIA CLASSICA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-ANT/08;ARCHEOLOGIA CRISTIANA E MEDIEVALE;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-ANT/09;TOPOGRAFIA ANTICA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-ANT/10;METODOLOGIE DELLA RICERCA ARCHEOLOGICA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-ART/01;STORIA DELL'ARTE MEDIEVALE;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-ART/02;STORIA DELL'ARTE MODERNA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-ART/03;STORIA DELL'ARTE CONTEMPORANEA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-ART/04;MUSEOLOGIA E CRITICA ARTISTICA E DEL RESTAURO;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-ART/05;DISCIPLINE DELLO SPETTACOLO;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-ART/06;CINEMA, FOTOGRAFIA E TELEVISIONE;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-ART/07;MUSICOLOGIA E STORIA DELLA MUSICA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-ART/08;ETNOMUSICOLOGIA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-FIL-LET/01;CIVILTA EGEE;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-FIL-LET/02;LINGUA E LETTERATURA GRECA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-FIL-LET/03;FILOLOGIA ITALICA, ILLIRICA, CELTICA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-FIL-LET/04;LINGUA E LETTERATURA LATINA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-FIL-LET/05;FILOLOGIA CLASSICA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-FIL-LET/06;LETTERATURA CRISTIANA ANTICA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-FIL-LET/07;CIVILTA BIZANTINA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-FIL-LET/08;LETTERATURA LATINA MEDIEVALE E UMANISTICA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-FIL-LET/09;FILOLOGIA E LINGUISTICA ROMANZA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-FIL-LET/10;LETTERATURA ITALIANA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-FIL-LET/11;LETTERATURA ITALIANA CONTEMPORANEA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-FIL-LET/12;LINGUISTICA ITALIANA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-FIL-LET/13;FILOLOGIA DELLA LETTERATURA ITALIANA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-FIL-LET/14;CRITICA LETTERARIA E LETTERATURE COMPARATE;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-FIL-LET/15;FILOLOGIA GERMANICA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-LIN/01;GLOTTOLOGIA E LINGUISTICA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-LIN/02;DIDATTICA DELLE LINGUE MODERNE;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-LIN/03;LETTERATURA FRANCESE;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-LIN/04;LINGUA E TRADUZIONE - LINGUA FRANCESE;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-LIN/05;LETTERATURA SPAGNOLA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-LIN/06;LINGUA E LETTERATURE ISPANO-AMERICANE;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-LIN/07;LINGUA E TRADUZIONE - LINGUA SPAGNOLA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-LIN/08;LETTERATURE PORTOGHESE E BRASILIANA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-LIN/09;LINGUA E TRADUZIONE - LINGUE PORTOGHESE E BRASILIANA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-LIN/10;LETTERATURA INGLESE;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-LIN/11;LINGUE E LETTERATURE ANGLO-AMERICANE;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-LIN/12;LINGUA E TRADUZIONE - LINGUA INGLESE;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-LIN/13;LETTERATURA TEDESCA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-LIN/14;LINGUA E TRADUZIONE - LINGUA TEDESCA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-LIN/15;LINGUE E LETTERATURE NORDICHE;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-LIN/16;LINGUA E LETTERATURA NEDERLANDESE;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
L-LIN/17;LINGUA E LETTERATURA ROMENA;10;SCIENZE DELL'ANTICHITA', FILOLOGICO-LETTERARIE E STORICO-ARTISTICHE;
